,Unnamed: 0,시군구명,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,인구사회,여성종사자비율,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,건축허가면적증감률,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,비영리단체수,비영리단체수등급,cluster_인구사회,cluster_산업경제,시군구코드,cluster_물리환경,cluster_final
36,47,강원도 정선군,-71.74,5.0,1.99,1.0,40.84,1.0,40.43,-5.84,27.29,0.62,26.0,63.96,56.24,0.46,182.1,44.05,-0.55,93.41,51.7,44.52,0.57,5.0,1.0,0,1,42770,0,1
37,48,전라남도 영암군,-35.94,5.0,2.61,1.0,62.12,1.0,25.17,-5.59,12.4,0.89,138.0,76.37,51.23,1.48,139.9,-4.45,0.14,87.56,41.14364285714286,24.16,0.78,15.0,1.0,0,1,46830,2,3
38,49,전라남도 영광군,-56.03,5.0,-0.55,1.0,53.92,1.0,41.51,-2.85,14.15,0.5,64.0,40.35,25.09,1.16,139.01,24.4,-0.37,90.34,41.14364285714286,60.16,1.23,21.0,1.0,0,0,46870,0,0
39,50,전라남도 곡성군,-55.89,5.0,2.48,2.0,62.97,1.0,33.88,-8.07,17.89,0.55,45.0,38.61,23.58,0.63,225.04,62.71,-1.53,92.58,41.14364285714286,27.25,1.1,11.0,1.0,0,1,46720,1,2
40,51,충청북도 진천군,4.71,0.0,5.48,0.0,50.51,0.0,32.91,3.83,27.83,0.9,331.0,97.86,16.06,1.54,75.32,-29.84,3.45,87.9,41.14364285714286,36.07,0.25,15.0,1.0,2,2,43750,2,6
41,52,전라북도 익산시,-8.25,5.0,1.3,1.0,67.98,1.0,44.68,-5.72,18.69,0.46,976.0,28.23,20.74,2.36,45.01,-24.52,-1.91,80.85,28.97,22.57,0.11,151.0,7.0,1,0,45140,1,2
42,53,전라남도 보성군,-66.93,5.0,-6.84,2.0,67.25,1.0,46.51,-8.9,14.47,0.47,37.0,14.98,28.01,0.63,169.97,-2.79,-2.21,93.06,41.14364285714286,26.29,1.33,13.0,1.0,0,0,46780,1,1
43,56,충청남도 계룡시,-6.02,2.0,2.03,0.0,43.19,0.0,49.61,-5.34,22.13,0.23,86.0,8.64,26.45,3.61,79.83,0.3038607594936721,-1.83,87.13715189873417,12.73,28.4,0.24,6.0,1.0,1,1,44250,0,2
44,57,경상북도 고령군,-22.48,5.0,1.92,0.0,69.36,1.0,30.75,-7.16,20.68,0.88,59.0,39.29,26.08,2.52,195.94,1.03,-1.18,94.55,72.6,27.56,1.01,10.0,1.0,1,1,47830,1,3
45,58,경상남도 사천시,-12.3,5.0,3.34,0.0,62.73,1.0,36.44,-5.99,22.6,0.62,189.0,55.07,26.44,2.57,65.81,-37.86,-1.33,85.57,37.14,43.91,0.47,28.0,3.0,1,1,48240,2,4
46,59,부산광역시 사하구,-13.52,5.0,-0.17,1.0,82.63,1.0,43.61,-6.56,18.88,0.4,582.0,26.08,1.41,4.61,28.12,-44.56,-1.95,89.66,7.55,13.28,0.16,38.0,4.0,1,0,26380,1,2
47,60,강원도 평창군,-41.89,5.0,3.13,2.0,42.15,1.0,40.54,-7.63,14.52,0.51,53.0,28.95,33.37,0.5,179.48,-5.7,-0.68,94.88,51.02,43.59,1.28,3.0,1.0,0,1,42760,0,1
48,61,전라남도 나주시,-46.03,0.0,8.09,0.0,66.78,1.0,38.61,-0.3,22.57,0.6,1299.0,52.33,21.64,1.4,102.74,-1.95,0.87,93.32,41.14364285714286,24.85,0.28,43.0,5.0,1,1,46170,1,3
49,64,충청북도 음성군,8.65,3.0,5.47,0.0,47.76,1.0,31.94,-7.05,31.06,1.08,467.0,87.06,21.77,1.9,71.29,3.81,-0.54,87.3,41.14364285714286,33.39,0.33,22.0,2.0,1,1,43770,2,4
50,65,충청남도 당진시,6.51,1.0,2.64,0.0,36.42,0.0,28.63,-4.08,32.26,0.68,221.0,85.61,21.6,2.38,49.01,0.3038607594936721,-0.52,87.13715189873417,24.91,14.39,0.62,37.0,4.0,2,1,44830,2,5
51,67,부산광역시 서구,-47.95,3.0,-3.79,2.0,85.44,1.0,51.65,-4.81,16.32,0.52,104.0,40.68,9.18,5.8,60.6,-64.91,-1.55,96.9,9.86,14.69,0.1,25.0,2.0,0,0,26140,1,1
52,68,부산광역시 강서구,9.1,0.0,5.74,0.0,39.85,0.0,26.51,6.3,49.75,1.39,765.0,129.68,105.1,4.11,50.71,-43.1,4.47,85.26,15.48,24.99,0.33,16.0,1.0,2,2,26440,2,6
53,70,인천광역시 서구,22.48,0.0,5.26,0.0,43.82,0.0,39.16,-1.92,40.02,0.44,1323.0,32.77,7.79,6.17,17.11,72.41,0.72,62.11,7.97,15.18,0.02,66.0,6.0,2,1,28260,1,4
54,73,충청북도 괴산군,-47.51,1.0,3.03,2.0,51.5,1.0,38.31,-2.64,12.86,0.44,48.0,23.7,17.14,0.61,130.33,11.86,1.04,95.76,41.14364285714286,17.43,1.61,12.0,1.0,0,1,43760,0,1
55,74,경상남도 밀양시,-33.6,3.0,3.11,1.0,58.84,1.0,40.54,-4.94,18.42,0.44,134.0,24.99,19.2,1.1,72.42,-35.03,-0.52,91.1,46.94,10.48,0.1,21.0,1.0,0,1,48270,0,1
56,75,인천광역시 부평구,-2.16,5.0,-0.21,1.0,73.1,1.0,47.77,-6.48,23.13,0.34,764.0,25.97,5.26,14.01,18.32,-15.27,-2.62,91.5,6.42,11.2,0.02,103.0,6.0,1,0,28237,1,2
57,76,전라북도 순창군,-56.57,5.0,-1.54,1.0,64.7,1.0,49.5,-5.82,15.18,0.36,46.0,15.13,7.46,1.09,176.91,-28.4,-2.04,87.51,147.04,25.66,0.77,14.0,1.0,0,0,45770,1,1
58,77,경상북도 경산시,1.5,0.0,3.4,0.0,53.38,0.0,39.29,-0.5,31.91,0.47,876.0,33.25,18.31,3.02,45.06,118.38,0.74,88.48,17.16,13.51,0.11,57.0,5.0,2,1,47290,0,3
59,78,경상남도 함양군,-46.14,5.0,0.36,1.0,59.08,1.0,41.97,-9.09,17.07,0.42,38.0,16.86,30.79,0.79,126.89,22.01,-0.05,89.24,118.17,23.69,0.54,11.0,1.0,0,0,48870,0,0
60,79,부산광역시 수영구,-17.81,1.0,2.15,2.0,79.21,0.0,46.26,-3.11,22.91,0.4,178.0,18.39,0.94,11.88,35.54,-6.64,0.08,97.6,7.06,15.48,0.06,44.0,5.0,1,1,26500,1,3
61,80,부산광역시 기장군,55.41,0.0,3.83,0.0,42.45,0.0,41.45,-2.51,39.6,0.52,323.0,37.07,59.6,2.95,47.72,26.6,-0.25,88.63,21.39,24.11,0.38,15.0,1.0,2,0,26710,1,3
62,81,대전광역시 중구,-19.9,5.0,0.41,1.0,78.29,1.0,52.45,-5.56,14.47,0.47,274.0,27.45,1.99,3.54,24.94,42.85,-1.44,78.29,9.15,16.44,0.09,220.0,7.0,0,0,30140,1,1
63,82,충청북도 단양군,-54.75,3.0,2.95,1.0,67.86,1.0,30.31,-5.97,21.75,0.63,27.0,37.38,31.74,0.75,171.7,10.93,-0.8,87.13,41.14364285714286,27.0,1.8,11.0,1.0,0,1,43800,1,2
64,83,충청남도 예산군,-43.19,5.0,2.15,1.0,59.49,1.0,37.3,-3.3,13.82,0.54,99.0,32.62,14.31,1.3,72.91,0.3038607594936721,-0.3,87.13715189873417,53.2,24.08,0.53,23.0,2.0,0,1,44810,0,1
65,84,충청남도 태안군,-37.79,2.0,3.46,0.0,41.92,1.0,39.33,-4.59,19.71,0.47,59.0,36.72,9.46,2.01,94.52,0.3038607594936721,-0.1,87.13715189873417,43.27,12.39,1.02,12.0,1.0,1,1,44825,0,2
66,85,경상북도 포항시,-1.89,4.0,1.94,0.0,54.31,1.0,37.64,-3.49,31.89,0.49,1907.0,48.41,27.89,2.19,43.65,-40.85,-0.54,93.09,14.35,19.51,0.6457142857142857,169.0,7.0,1,1,47110,0,2
67,86,경상남도 하동군,-46.87,4.0,1.75,0.0,65.35,1.0,41.85,-6.46,12.68,0.4,36.0,28.4,28.71,1.23,119.06,34.74,-1.16,99.23,95.39,15.78,0.96,13.0,1.0,0,1,48850,1,2
68,87,대구광역시 북구,-3.24,2.0,0.39,0.0,62.64,0.0,43.6,-3.59,20.71,0.4,1277.0,18.61,4.32,3.24,25.19,-4.8,-0.46,89.72,8.36,12.28,0.02,51.0,5.0,1,0,27230,1,2
69,88,전라북도 고창군,-56.38,3.0,1.43,0.0,39.3,1.0,43.46,-7.48,13.8,0.48,46.0,16.3,10.7,1.29,110.13,-34.01,-1.92,96.68,119.96,29.32,1.16,25.0,2.0,0,0,45790,0,0
70,89,인천광역시 남동구,11.3,1.0,3.11,0.0,59.61,0.0,42.71,-4.5,31.05,0.53,1290.0,33.84,13.4,8.23,15.25,34.4,-1.02,72.33,12.51,16.84,0.02,190.0,7.0,2,1,28200,0,3
71,91,경상남도 창원시,-3.72,5.0,1.14,0.0,64.42,1.0,39.94,-4.26,39.06,0.5,2418.0,45.54,17.68,4.44,38.71,10.85,-0.94,79.74,11.96,12.27,0.54,340.0,7.0,1,1,48110,1,3
72,93,전라북도 장수군,-55.33,1.0,-2.22,1.0,63.93,1.0,41.36,-1.44,15.84,0.34,50.0,13.82,38.1,0.93,194.79,-2.83,-2.56,89.14,141.27,27.48,0.48,20.0,1.0,0,0,45740,1,1
73,94,제주특별자치도 제주시,9.99,0.0,4.47,0.0,51.36,0.0,47.32,-2.12,36.52,0.49,711.0,23.13,15.14,2.15,21.72,-4.17,0.5,75.68,8.81,18.27,0.34,320.0,7.0,2,1,49110,0,3
74,96,강원도 영월군,-55.42,4.0,2.0,1.0,47.8,1.0,34.83,-6.81,21.44,0.5,61.0,28.3,33.59,0.29,175.08,-37.84,-0.77,86.19,57.24,70.37,1.12,5.0,1.0,0,1,42750,0,1
75,97,강원도 인제군,-30.36,4.0,1.27,1.0,33.19,1.0,41.56,-4.93,15.28,0.38,16.0,13.87,39.35,0.28,192.37,-12.71,-1.41,103.27,30.37,34.76,0.67,5.0,1.0,0,0,42810,0,0
76,98,경상북도 영양군,-61.92,5.0,2.23,0.0,59.38,1.0,38.51,-9.77,11.81,0.28,6.0,10.86,41.29,0.34,311.89,23.23,-0.9,94.71,111.75,15.78,2.53,5.0,1.0,0,1,47760,0,1
77,100,충청남도 보령시,-32.27,4.0,2.18,0.0,45.98,1.0,42.7,-6.92,20.37,0.49,149.0,33.57,10.56,2.28,77.73,0.3038607594936721,-0.41,87.13715189873417,44.75,14.6,1.47,22.0,2.0,0,1,44180,0,1
78,101,전라북도 완주군,-18.07,2.0,4.85,0.0,51.41,0.0,31.51,-6.11,22.5,0.72,578.0,76.51,19.74,1.43,68.96,6.3,-2.05,90.33,53.55,14.43,0.55,31.0,3.0,1,1,45710,2,4
79,102,전라남도 함평군,-60.75,5.0,-3.41,1.0,50.31,1.0,40.45,-4.96,9.93,0.48,40.0,16.32,16.22,1.85,199.17,20.75,-0.75,91.68,41.14364285714286,21.3,1.69,7.0,1.0,0,0,46860,0,0
80,103,전라남도 완도군,-57.77,5.0,2.01,0.0,67.06,1.0,44.87,-4.28,11.37,0.38,26.0,11.75,35.96,0.9,158.4,21.45,-0.95,80.48,41.14364285714286,23.51,0.66,11.0,1.0,0,1,46890,1,2
81,105,부산광역시 남구,-17.45,3.0,3.3,1.0,79.99,1.0,43.58,-5.2,31.02,0.36,587.0,25.22,8.96,4.87,29.22,-65.11,-1.79,96.74,8.11,11.35,0.04,47.0,5.0,1,1,26290,1,3
82,108,충청남도 아산시,8.63,0.0,4.05,0.0,45.86,0.0,33.2,-1.24,40.86,0.7,1268.0,100.35,17.15,1.74,34.37,0.3038607594936721,0.26,87.13715189873417,19.11,14.15,0.16,46.0,5.0,2,2,44200,2,6
83,109,인천광역시 계양구,-3.91,5.0,0.17,0.0,60.65,1.0,49.64,-8.29,24.04,0.29,280.0,14.65,3.05,5.5,23.56,-52.59,-3.06,88.91,8.5,14.75,0.03,45.0,5.0,1,0,28245,0,1
84,110,울산광역시 중구,-0.85,4.0,2.15,0.0,72.26,1.0,51.47,-7.16,19.51,0.27,282.0,18.41,15.34,5.32,29.66,-76.73,-3.74,86.63,5.36,13.86,0.05,86.0,6.0,1,0,31110,1,2
85,112,전라남도 무안군,-23.29,2.0,4.54,0.0,64.64,1.0,49.67,-2.17,24.52,0.36,159.0,17.92,12.1,1.55,94.13,-18.97,-0.72,83.34,41.14364285714286,19.38,0.25,25.0,2.0,1,1,46840,1,3
86,113,인천광역시 중구,22.86,0.0,3.61,0.0,44.35,0.0,38.57,6.63,50.2,0.94,121.0,176.24,0.74,1.06,49.13,45.72,9.54,82.79,9.79,20.54,0.55,55.0,5.0,2,2,28110,2,6
87,115,전라남도 진도군,-60.69,5.0,4.43,1.0,75.01,1.0,41.61,-4.46,13.85,0.38,12.0,10.33,30.35,0.79,218.68,-41.03,-0.78,88.22,41.14364285714286,55.31,1.47,8.0,1.0,0,1,46900,1,2
88,116,울산광역시 북구,9.57,0.0,3.0,0.0,47.37,0.0,26.97,2.86,32.2,0.58,293.0,108.51,19.57,1.59,29.27,-1.21,4.71,83.75,7.81,17.61,0.05,39.0,4.0,2,2,31200,2,6
89,118,전라남도 구례군,-50.84,2.0,2.51,1.0,64.71,1.0,47.21,-9.57,8.75,0.42,12.0,17.75,37.23,0.53,230.22,-32.17,-1.33,98.11,41.14364285714286,27.66,2.55,6.0,1.0,0,1,46730,1,2
90,120,전라남도 고흥군,-61.74,5.0,1.43,1.0,66.56,1.0,46.62,-5.51,12.32,0.43,45.0,14.47,20.21,0.71,135.84,-3.08,-0.17,79.45,41.14364285714286,18.02,0.85,13.0,1.0,0,1,46770,1,2
91,121,경상남도 거제시,7.66,3.0,1.77,0.0,52.77,1.0,29.58,-3.43,32.43,0.56,576.0,65.01,33.83,2.81,37.48,-36.53,-1.13,64.09,15.17,12.88,0.17,27.0,3.0,1,1,48310,2,4
92,122,대구광역시 달성군,8.81,0.0,4.11,0.0,51.16,0.0,35.2,1.84,39.12,0.49,848.0,45.28,24.47,1.39,36.63,17.17,1.74,79.69,14.85,13.29,0.04,19.0,1.0,2,1,27710,0,3
93,123,대전광역시 서구,-4.27,3.0,1.5,0.0,66.08,1.0,51.78,-3.97,21.16,0.42,728.0,22.7,13.64,2.07,15.47,29.6,-0.91,68.49,6.95,15.98,0.06,185.0,7.0,1,1,30170,1,3
94,125,강원도 강릉시,-6.76,2.0,2.13,1.0,57.41,0.0,45.69,-3.57,20.92,0.46,340.0,22.92,22.69,1.13,64.27,-43.32,0.56,90.55,21.94,22.36,0.47,54.0,5.0,1,1,42150,0,2
95,126,강원도 태백시,-59.3,5.0,-0.93,1.0,70.05,1.0,40.6,-7.84,22.66,0.49,23.0,20.24,64.21,0.75,149.62,-26.96,-1.89,89.53,31.35,47.74,0.47,12.0,1.0,0,0,42190,1,1
96,127,경상북도 김천시,-17.08,1.0,2.21,0.0,60.17,0.0,40.12,-3.36,27.6,0.52,302.0,41.92,33.72,1.27,85.16,-13.73,0.36,80.96,43.49,20.94,0.07,32.0,3.0,1,1,47150,0,2
97,128,경상북도 영덕군,-54.02,5.0,1.97,1.0,62.3,1.0,46.35,-4.52,13.42,0.43,13.0,14.09,56.78,0.19,176.28,39.12,-1.06,89.07,72.67,38.23,1.17,8.0,1.0,0,1,47770,1,2
98,129,경상북도 칠곡군,2.91,3.0,3.05,0.0,46.29,1.0,36.13,-6.63,27.53,0.65,238.0,37.79,37.27,2.45,71.17,-43.49,-1.48,76.61,26.08,18.21,0.18,35.0,4.0,1,1,47850,0,2
99,130,경상남도 김해시,3.64,0.0,2.41,0.0,44.43,0.0,39.54,-1.64,39.93,0.51,1220.0,30.76,24.74,4.62,27.88,-2.12,1.42,88.26,11.85,13.0,0.17,58.0,5.0,2,1,48250,0,3
100,131,경상남도 합천군,-55.24,5.0,-5.06,2.0,71.4,1.0,41.68,-7.67,12.69,0.38,34.0,13.19,7.39,1.04,127.39,13.06,-0.27,93.1,129.8,16.83,0.96,10.0,1.0,0,0,48890,1,1
101,132,경상북도 청송군,-56.6,5.0,0.99,1.0,55.9,1.0,52.77,-8.29,10.35,0.5,12.0,14.75,18.93,0.54,225.52,-7.22,-0.11,85.77,101.55,19.89,0.85,9.0,1.0,0,1,47750,0,1
102,134,충청남도 서산시,4.88,0.0,3.89,0.0,51.7,0.0,33.61,-2.46,39.46,0.53,301.0,70.19,19.55,2.07,49.22,0.3038607594936721,0.23,87.13715189873417,25.68,11.03,0.65,26.0,3.0,2,1,44210,2,5
103,135,경상북도 영천시,-32.7,2.0,1.26,1.0,59.21,1.0,35.97,-1.42,18.84,0.59,221.0,38.02,6.37,0.95,111.28,-51.2,1.22,80.03,47.39,29.02,0.52,28.0,3.0,1,1,47230,0,2
104,136,전라남도 강진군,-56.18,5.0,2.72,0.0,66.33,1.0,44.93,-5.17,11.23,0.45,33.0,14.58,65.95,1.33,186.06,6.79,-1.65,94.14,41.14364285714286,27.38,1.87,16.0,1.0,0,1,46810,1,2
105,138,충청남도 논산시,-35.43,5.0,2.85,1.0,65.42,1.0,44.57,-4.6,13.2,0.48,226.0,23.98,10.56,2.41,62.67,0.3038607594936721,-0.66,87.13715189873417,49.67,15.24,0.34,32.0,3.0,0,1,44230,1,2
106,139,경상북도 군위군,-52.28,2.0,1.79,1.0,62.89,1.0,36.64,-6.52,12.59,0.49,15.0,23.52,39.31,0.66,246.54,-31.94,0.73,95.61,104.86,82.49,0.47,10.0,1.0,0,1,47720,1,2
107,140,경상북도 구미시,2.86,2.0,2.3,0.0,47.41,0.0,36.04,-3.17,44.24,0.54,1546.0,69.02,39.79,3.25,41.06,-57.64,-0.74,81.74,11.9,22.09,0.6457142857142857,104.0,6.0,2,1,47190,2,5
108,141,경상북도 울릉군,-50.16,5.0,-1.57,2.0,71.95,1.0,38.26,-3.24,16.13,0.45,4.0,15.41,24.66,1.17,473.31,68.84,-1.91,94.98,35.59,29.66,1.19,6.0,1.0,0,0,47940,1,1
109,142,대구광역시 중구,-57.7,2.0,0.96,1.0,80.94,1.0,56.42,-3.75,31.05,1.38,92.0,67.62,0.74,12.29,82.91,403.88,-2.47,96.25,11.38,24.64,0.54,107.0,6.0,0,0,27110,2,2
110,144,경상북도 경주시,-8.94,5.0,3.38,0.0,57.77,1.0,37.43,-5.08,28.4,0.61,517.0,51.69,13.51,1.54,68.03,-5.44,-0.21,82.55,27.59,20.46,0.12,82.0,6.0,1,1,47130,0,2
